Reading problem outline... SDP_n7_LB_F_edges16partition__objective.txt.dat-s
With scale 21
Unpickling rounded matrices
Reading problem file... SDP_n7_LB_F_edges16partition__objective.txt.dat-s
Testing of rounded starts...
100253 / 110348 rounded to 0.12326315641312714 	 min so far 0.07922638753013052
100254 / 110348 rounded to 0.1498844634469796 	 min so far 0.07922638753013052
100255 / 110348 rounded to 0.08095954962173736 	 min so far 0.07922638753013052
100256 / 110348 rounded to 0.16538357927018119 	 min so far 0.07922638753013052
100257 / 110348 rounded to 0.16561850694667807 	 min so far 0.07922638753013052
100258 / 110348 rounded to 0.17905941044332166 	 min so far 0.07922638753013052
100259 / 110348 rounded to 0.09359077976057414 	 min so far 0.07922638753013052
100260 / 110348 rounded to 0.1785009082353958 	 min so far 0.07922638753013052
100261 / 110348 rounded to 0.08844432893896899 	 min so far 0.07922638753013052
100262 / 110348 rounded to 0.14554693594811519 	 min so far 0.07922638753013052
100263 / 110348 rounded to 0.10146232045758664 	 min so far 0.07922638753013052
100264 / 110348 rounded to 0.07922639047585224 	 min so far 0.07922638753013052
100265 / 110348 rounded to 0.10549656989966519 	 min so far 0.07922638753013052
100266 / 110348 rounded to 0.15415913976778461 	 min so far 0.07922638753013052
100267 / 110348 rounded to 0.148252996698868 	 min so far 0.07922638753013052
100268 / 110348 rounded to 0.10768000287479626 	 min so far 0.07922638753013052
100269 / 110348 rounded to 0.1051993304993901 	 min so far 0.07922638753013052
100270 / 110348 rounded to 0.182539139725582 	 min so far 0.07922638753013052
100271 / 110348 rounded to 0.09892253612368557 	 min so far 0.07922638753013052
100272 / 110348 rounded to 0.14149355742823028 	 min so far 0.07922638753013052
100273 / 110348 rounded to 0.1460523228178015 	 min so far 0.07922638753013052
100274 / 110348 rounded to 0.20239132677179067 	 min so far 0.07922638753013052
100275 / 110348 rounded to 0.1124774500445009 	 min so far 0.07922638753013052
100276 / 110348 rounded to 0.10950898469890046 	 min so far 0.07922638753013052
100277 / 110348 rounded to 0.196889974291374 	 min so far 0.07922638753013052
100278 / 110348 rounded to 0.0824951995051756 	 min so far 0.07922638753013052
100279 / 110348 rounded to 0.14203751300819825 	 min so far 0.07922638753013052
100280 / 110348 rounded to 0.07922639225673028 	 min so far 0.07922638753013052
100281 / 110348 rounded to 0.16924660558670818 	 min so far 0.07922638753013052
100282 / 110348 rounded to 0.15264009957698746 	 min so far 0.07922638753013052
100283 / 110348 rounded to 0.1319775964122962 	 min so far 0.07922638753013052
100284 / 110348 rounded to 0.1188105519045137 	 min so far 0.07922638753013052
100285 / 110348 rounded to 0.09182953588352236 	 min so far 0.07922638753013052
100286 / 110348 rounded to 0.09973092891618592 	 min so far 0.07922638753013052
100287 / 110348 rounded to 0.10336243367930481 	 min so far 0.07922638753013052
100288 / 110348 rounded to 0.16170367718169348 	 min so far 0.07922638753013052
100289 / 110348 rounded to 0.08184121497675481 	 min so far 0.07922638753013052
100290 / 110348 rounded to 0.08407867479641017 	 min so far 0.07922638753013052
100291 / 110348 rounded to 0.09534007819248631 	 min so far 0.07922638753013052
100292 / 110348 rounded to 0.12104425013277405 	 min so far 0.07922638753013052
100293 / 110348 rounded to 0.07922638806312812 	 min so far 0.07922638753013052
100294 / 110348 rounded to 0.106033035585874 	 min so far 0.07922638753013052
100295 / 110348 rounded to 0.13303471349043577 	 min so far 0.07922638753013052
100296 / 110348 rounded to 0.11758401829087665 	 min so far 0.07922638753013052
100297 / 110348 rounded to 0.15883467302262425 	 min so far 0.07922638753013052
100298 / 110348 rounded to 0.15468615379071085 	 min so far 0.07922638753013052
100299 / 110348 rounded to 0.15956968777206038 	 min so far 0.07922638753013052
100300 / 110348 rounded to 0.12398579909887579 	 min so far 0.07922638753013052
100301 / 110348 rounded to 0.09067799853370175 	 min so far 0.07922638753013052
100302 / 110348 rounded to 0.0959954236178259 	 min so far 0.07922638753013052
100303 / 110348 rounded to 0.09620921565423679 	 min so far 0.07922638753013052
100304 / 110348 rounded to 0.08446405692223505 	 min so far 0.07922638753013052
100305 / 110348 rounded to 0.14817392082068223 	 min so far 0.07922638753013052
100306 / 110348 rounded to 0.16141578684281804 	 min so far 0.07922638753013052
100307 / 110348 rounded to 0.12166827414695473 	 min so far 0.07922638753013052
100308 / 110348 rounded to 0.11182314905618217 	 min so far 0.07922638753013052
100309 / 110348 rounded to 0.20175118857444513 	 min so far 0.07922638753013052
100310 / 110348 rounded to 0.1035023825079706 	 min so far 0.07922638753013052
100311 / 110348 rounded to 0.11210637930408673 	 min so far 0.07922638753013052
100312 / 110348 rounded to 0.20759109133594755 	 min so far 0.07922638753013052
100313 / 110348 rounded to 0.08940349348600185 	 min so far 0.07922638753013052
100314 / 110348 rounded to 0.10695576794541808 	 min so far 0.07922638753013052
100315 / 110348 rounded to 0.10236963031529711 	 min so far 0.07922638753013052
100316 / 110348 rounded to 0.25378178325554557 	 min so far 0.07922638753013052
100317 / 110348 rounded to 0.07922639242219137 	 min so far 0.07922638753013052
